,id,author_id,created_at,text
22,572345440600907777,630236717,2015-03-02T10:39:21.000Z,@mykitchenrules Elegant and beautiful?Cheap and trashy!Nothing more unattractive than girls banging on about how hot hey are. #mkr #notsassy
23,572345326004129792,22436706,2015-03-02T10:38:54.000Z,Sorry #killerblondes but you are a long LONG way from refined. #mkr
24,572320554654425088,27225245,2015-03-02T09:00:28.000Z,"Drasko only likes his mum's hot pot, especially when she's drunk and unconscious #MKR"
25,572344691443687425,2587278392,2015-03-02T10:36:22.000Z,its melting because you didnt put it in the freezer before you served it you dumb skank! #MKR
26,572345137335967744,2949949244,2015-03-02T10:38:09.000Z,#mkr deconstructed by girls that have deconstructed brains  ! Nearly brought up my dinner when I saw that crap on the plate
27,568340978861355008,33485745,2015-02-19T09:27:03.000Z,"In the words of former contestant @whatsnextjake , Katie and Nikki need to calm their farm. #MKR"
28,572345016275771392,22999093,2015-03-02T10:37:40.000Z,I cannot stop looking at Nikki's dreadful black crooked bra #MKR #MKR2015
29,572344614910349312,37104990,2015-03-02T10:36:04.000Z,"I dislike Kat more than the blondes who are going to tell us they're hot another 50,000 times #MKR #notaustraliasnexttopmodel"
30,572344602469908480,297592019,2015-03-02T10:36:01.000Z,I've had better looking shits than these two! #MKR2015 #MKR #killerblondes
31,572344515261931520,24605272,2015-03-02T10:35:40.000Z,"@mykitchenrules Girls, please don't let the leftovers go to waist. My dog would really appreciate it! #MKR"
0,572344114332626944,2587278392,2015-03-02T10:34:05.000Z,shit she knows how to walk.....you go girl...one foot in front of the other.....#MKR
1,572344083017936896,110114783,2015-03-02T10:33:57.000Z,R u fucking kidding - catwalk - all that's missing is a pole #mkr
2,572344011043688448,38771493,2015-03-02T10:33:40.000Z,"Actually Nikki really is quite good looking, wait till my shots hit the newstand! #mkr #photography #fashion"
3,572343828968943616,929365638,2015-03-02T10:32:57.000Z,Stick to your day jobs girls #MKR
4,572343516271001601,110114783,2015-03-02T10:31:42.000Z,Obviously natural blondes!! #mkr
5,572343508306010112,2587278392,2015-03-02T10:31:40.000Z,jus gonna say it...again....DUMB BITCH! #MKR
6,572343206479712256,489247802,2015-03-02T10:30:28.000Z,"Omg. All those girl teams and 2 couples. Hahaha, poor Kats husband and Lloyd. #MKR"
7,572342944256032768,47297309,2015-03-02T10:29:26.000Z,WTF....#mkr the girls used bought sorbet amd that was the standout!!?? Shouldn't they be disqualified? ??
8,572318519464865792,247696871,2015-03-02T08:52:22.000Z,"""It's Katie and Nikki to a T. In that it's trashy and cheap.""

#MKR"
9,572342652907044864,2359256119,2015-03-02T10:28:16.000Z,I will not be using killer blondes as a hash tag! #MKR
10,573423922764365825,1414469732,2015-03-05T10:04:51.000Z,"Shut up Katie and Nikki... That is all :)
#MKR #MKR2015 #mykitchenrules"
11,572337046909423617,3018304886,2015-03-02T10:06:00.000Z,"Anyone else notice that all 3 of Katie and Nikki's dishes were based on them being sluts? Sausage, cock and tarts? #MKR #MKR2015"
12,572340250715930624,404060390,2015-03-02T10:18:43.000Z,Just read the #killerblondes get through. Switching off. #MKR
13,572334820744830976,38120739,2015-03-02T09:57:09.000Z,"#MKR ""everyone under estimated us"" umm bitch you came second last, like literally just survived - you didn't win! My god #GoAlready #YouSuck"
14,572335171862593536,2601524623,2015-03-02T09:58:33.000Z,Who is writing the bimbolines? #mkr
15,568342285319933952,2851217976,2015-02-19T09:32:14.000Z,"Katie and Nikki - NSW - My Kitchen Rules 
When Will people learn? They are not that hot. Pride always comes before a fall."
16,572341252550627328,630236717,2015-03-02T10:22:42.000Z,@mykitchenrules My god.  You can't use a can opener?  Reminds me of a joke I know.  How do you know a blonde.....? #MKR
17,572336293725642752,25807167,2015-03-02T10:03:00.000Z,Kim Kardashian has had marriages that didn't stretch as long as #MKR
18,572341152348696576,2521781652,2015-03-02T10:22:18.000Z,Sassy...? More like femme bots than killer blondes... #mkr
19,572341118118936577,21451979,2015-03-02T10:22:10.000Z,"How the f#*k are they ""models""? #MKR"
20,572340883489615872,333311787,2015-03-02T10:21:14.000Z,"@mykitchenrules #MKR The girls are bringing some ""Sassy-ges"" to the table."
21,572339059613298689,413522813,2015-03-02T10:14:00.000Z,"Just me, or hot blondes on #mkr not at all hot?? Just average!"
22,572330495830188032,21167865,2015-03-02T09:39:58.000Z,"""@NewIdeamagazine:They weren't kidding when they said deconstructed! #mkr"" Yeh. Seen better shit in women's magazi... Oh. Right...Sorry #MKR"
23,572332558316269569,24825958,2015-03-02T09:48:09.000Z,Katie and Nikki have definitely proved they're not just dumb blondes with pretty faces. They're just dumb blondes. #mkr
24,572332376795185152,365105604,2015-03-02T09:47:26.000Z,Who was responsible for convincing these girls they were so pretty? #MKR
25,572317842722299904,26452697,2015-03-02T08:49:41.000Z,#mkr OH MY GAWD WE ARE LIKE SO HOT I CAN'T EVEN... http://t.co/yisKQvhmkH
26,572339019238940672,3018304886,2015-03-02T10:13:50.000Z,@mykitchenrules did you find Katie and Nikki in the line for Mt Druitt's next top model? #MKR
27,572339081780326400,266723506,2015-03-02T10:14:05.000Z,"Ugh these #KillerBlondes are killer boring, and what's with spreading their dna all over the table? Unhygienic -and- gross! #MKR2015 #MKR"
28,572339928408965120,319618901,2015-03-02T10:17:27.000Z,@_saral93 not to mention these same girls on #MKR have super inflated egos considering they didn't cook that well and aren't very nice
29,572339924571013120,2852877864,2015-03-02T10:17:26.000Z,"Yes, we get it. You're pretty. Tone down the self promo and just cook! @mykitchenrules #MKR"
30,572338619282694144,1704384571,2015-03-02T10:12:15.000Z,"If I hear ""hot"" ""pretty"" ""sassy"" ""like us"" one more time.. I will deconstruct.. #MKR #killerblondes"
31,572338459932663810,2987669000,2015-03-02T10:11:37.000Z,"#MKR maybe you girls should go back to cutting up cows and pigs, don't quit your day job!! @mykitchenrules"
32,572339639240929281,2587278392,2015-03-02T10:16:18.000Z,nothing worse than a raw cock....oh wait....#MKR
33,572339607829794816,458151092,2015-03-02T10:16:10.000Z,Guess one of em isn't too bad ;) #mkr
34,572339334956761088,43830965,2015-03-02T10:15:05.000Z,That was annoying “@raachel_19: If she calls her own self pretty one more time.. I'm gonna vom. #MKR”
35,572339304782962688,43656765,2015-03-02T10:14:58.000Z,The girls are going through this is fucked or are they sucking Colin's cock! #MKR
36,572339216178270208,25877711,2015-03-02T10:14:37.000Z,"These 2 delusional, narcissistic hostesses on #MKR make me want to vomit my own dinner up."
37,572319608947912704,17569860,2015-03-02T08:56:42.000Z,"the theme for their instant restaurant appears to be ""barbie's dream narcissism kitchen"" 💋 #MKR"
38,572339184288980992,36933144,2015-03-02T10:14:29.000Z,The girls can cook for me anytime. Just not hot pot... or spatchcock. #MKR
39,572330821433966592,25257175,2015-03-02T09:41:15.000Z,These girls are pretty...awful. #gohome #MKR
40,572331938779799552,261162002,2015-03-02T09:45:42.000Z,@mykitchenrules if the vapid duo of conceit get through tonight I'm not watching again #suicideblondes #mkr
41,572338808705847296,433015295,2015-03-02T10:13:00.000Z,They starting to act and look like a couple of B grade hookers to me #MKR
42,572338780671107072,36543033,2015-03-02T10:12:53.000Z,Maybe the girls should have less tickets on themselves and worry about the cooking. #MKR
43,572338645950062593,714051386,2015-03-02T10:12:21.000Z,"“@walslab: Out of the two blondes, which one is Beavis and which is Butthead #MKR” Does it matter?"
44,572338617772740608,141680286,2015-03-02T10:12:14.000Z,"those blond girls make me crazy, they are so annoying #mkr"
45,572338299106291713,53128314,2015-03-02T10:10:58.000Z,Catching up with #MKR. If society judges these two as pretty then I really have no friggin hope.
46,572338147700293632,3037268654,2015-03-02T10:10:22.000Z,"If you talk the talk, you gotta walk the walk!! Do the girls know the recipe for humble pie??? #MKR"
47,572337900366385152,1281732810,2015-03-02T10:09:23.000Z,@mykitchenrules I think the pink has gone to the girls head #imbeautiful #MKR
48,572337688734384128,80816781,2015-03-02T10:08:33.000Z,Think these two girls have wayyy to many tickets kn themselves #MKR  #PromoGirls #promogirls i think not
49,572337676713512960,3041100698,2015-03-02T10:08:30.000Z,If only this Sasquatch had wings to help these girls fly out of the whole they've dug for themselves #mkr @mykitchenrules
50,572337676482838528,23568714,2015-03-02T10:08:30.000Z,"""Classy and elegant"" is one way of putting it... #mkr"
51,319399851215433729,949380854,2013-04-03T10:43:53.000Z,Oh yeah Colin! Smash those girls! :D #MKR
52,572315829531881473,19898890,2015-03-02T08:41:41.000Z,Kel the butcher has never heard of these silly sausages on #mkr http://t.co/CHGKB1rirW
53,572337535403180032,3018304886,2015-03-02T10:07:56.000Z,"@mykitchenrules Did Stevie Wonder choose these ""models""? #MKR"
54,572337509159452672,1874504276,2015-03-02T10:07:50.000Z,#MKR2015 #MKR why do they keep saying that they are so pretty
55,572337337318817792,71952630,2015-03-02T10:07:09.000Z,Is #mkr sexist then? Four of the six teams in the fourth instant restaurants are an all-female team.
56,572337067436351489,929365638,2015-03-02T10:06:05.000Z,#MKR anyone can cook from a can girls.
57,572337021588414464,43830965,2015-03-02T10:05:54.000Z,"""We want everyone to know we are not just pretty faces"" noone said they were pretty though 😒 #MKR"
58,572336970979885056,2587278392,2015-03-02T10:05:42.000Z,why is their whole menu dick related?!?!?! #MKR
59,572334859902844929,31069840,2015-03-02T09:57:18.000Z,STOP SAYING SASS OR I WILL PUT MY FOOT UP YOUR ASS #MKR
60,572336919733903360,752800226,2015-03-02T10:05:29.000Z,This is supposed to be a fucking cooking show not a bunch of faggots walking stupidly down a runway #cringeworthy #mkr
61,572336427867885568,36575908,2015-03-02T10:03:32.000Z,#MKR you'd think in her downtime Annie would have paid Napoléon Perdis a visit and learnt not to use the same coloured blush as your hair...
62,572336799340630016,36608957,2015-03-02T10:05:01.000Z,What a riveting little lesson in walking the catwalk. Thanks ladies #MKR
63,572336719988588545,1253045544,2015-03-02T10:04:42.000Z,"The missus loves #MKR if I have to watch five more minutes of these stuck up, idiotic, 2 bit hookers I'll neck myself. #goingtobed"
64,572336657384407040,2587278392,2015-03-02T10:04:27.000Z,yeah colin would be looking for more fat in his sausage.... #MKR
65,572335493586685953,24791335,2015-03-02T09:59:49.000Z,Gay fiancé is not going to cope being away from the fresh meat #MKR
66,461076562830319616,15641984,2014-04-29T09:36:33.000Z,Deb better be there tonight or #MKR can fuck me hard with a rusty chainsaw and call it mary....
67,572336451221757953,383446627,2015-03-02T10:03:38.000Z,“@CarlyandTresne: Really!!! Really!!! Another round!! #MKR those butcher promo girls better be nice to Sheri and Emilie.” Yes OR else
68,572336406053322753,82522377,2015-03-02T10:03:27.000Z,"Sauce, capsicum and stock from a packet / jar..The quality of cooking I expected. Double standards from the 'promo girls' #Mkr #MKR #MKR2015"
69,572336260963938304,885751759,2015-03-02T10:02:52.000Z,Aww I was looking forward to Ash and Camilla butting heads with the promo girls. The drama would've been great #mkr
70,572336241871478786,198789305,2015-03-02T10:02:48.000Z,Absolutely #blondemoment #MKR
71,618367060117098498,2587278392,2015-07-07T10:32:50.000Z,Sorry but #JessieJ on #thevoiceau is being a real cunt. You're not all that.
72,572348358968262658,17646796,2015-03-02T10:50:57.000Z,So bummed the dull chicks on #MKR are using such a great name for their restaurant. #Sassy #Iamlatetothepartytonight #IQ
73,572346123349729280,43830965,2015-03-02T10:42:04.000Z,RT @FakeToniaTodman: My deconstructed tart joke from the last season of #MKR http://t.co/10LPgtdopB
0,572341234267648000,2359256119,2015-03-02T10:22:38.000Z,RT @SimpsonMatt: Kim Kardashian has had marriages that didn't stretch as long as #MKR
1,572340845652807680,156928816,2015-03-02T10:21:05.000Z,"RT @Dazzling19: Just me, or hot blondes on #mkr not at all hot?? Just average!"
2,572340788891238402,2359256119,2015-03-02T10:20:52.000Z,"RT @stweet_heart: Did she really just tell them that in order to walk you just 'put one foot in front of the other'?

#mkr http://t.co/x84K…"
3,572340437802860544,2359256119,2015-03-02T10:19:28.000Z,RT @fee_bee_63: Who was responsible for convincing these girls they were so pretty? #MKR
4,572336040091906048,182336607,2015-03-02T10:02:00.000Z,@Weeezza Gosh I dislike those two girls. They just aren't hot either. #MKR
5,572335805051613186,297592019,2015-03-02T10:01:04.000Z,Katie's a fatty!! Model!!!! Hahahaha #MKR #killerblondes
6,572335442869133312,711802766,2015-03-02T09:59:37.000Z,"Out of the two blondes, which one is Beavis and which is Butthead #MKR"
7,572335274866294784,23747654,2015-03-02T09:58:57.000Z,I've kind of missed Annie's batshit crazy weirdness #mkr
8,572335228624060416,22623059,2015-03-02T09:58:46.000Z,Y'all made one point more... Calm your tits #MKR
9,572335222194229248,13207852,2015-03-02T09:58:45.000Z,"I don't think I can sit through any more of those blonde slags. This might be me, breaking up with you, #mkr."
10,572335112303472641,714051386,2015-03-02T09:58:18.000Z,#MKR The blonde in red has breeders hips in that dress. Model my arse!
11,572334967256031232,29178646,2015-03-02T09:57:44.000Z,These girls are acting like they put up three good dishes! Reality check use didn't! Get off that high horse!! #mkr
12,572334834556649472,383446627,2015-03-02T09:57:12.000Z,I want to see the butchered girls go up against the Texan (who has male sass) and his daughter (who is actually good looking) #MKR
13,572334824226099200,2650794800,2015-03-02T09:57:10.000Z,"this is total  BS - I don't know if  I can stand anymore of the Butchers of Bimbo.
weaning off #MKR"
14,572334657972277249,54805470,2015-03-02T09:56:30.000Z,He saved them cause he wants to bang them #mkr
15,572334549184602112,590939369,2015-03-02T09:56:04.000Z,It's obvious the blonde bimbos make better TV according to Channel 7. Shit cooks #mkr
16,572334498064433152,46076472,2015-03-02T09:55:52.000Z,They're staying...just so that the producers can have a showdown between them and the posh bitches #mkr #bringit
17,572334487884865536,474703667,2015-03-02T09:55:50.000Z,"#MKR do the blondes keep pronouncing ""porno models"" incorrectly ? Actually that's harsh, sorry to all the ladies in the porn biz !"
18,572334362538065921,431658017,2015-03-02T09:55:20.000Z,"""Seeing as you two think this is a modelling competition and not a cooking competition, I give you two a score of -10 for your looks."" #MKR"
19,572334297555722243,1240932972,2015-03-02T09:55:04.000Z,"Do you get it, you Blondes ........... #MKR"
20,572334289842409472,342065781,2015-03-02T09:55:02.000Z,"""Your sausage was a little bit short"" bet Colin's been told that before #MKR"
21,572334123861200898,26989237,2015-03-02T09:54:23.000Z,These girls should know skinny sausages are no fun at all. #mkr
22,572334038163185664,2587278392,2015-03-02T09:54:02.000Z,well ya standards are pretty low bitch #MKR
23,572333942440767488,2601524623,2015-03-02T09:53:39.000Z,"Colin will save them. They're pretty blondes, as they keep telling us. #mkr"
24,572333734348791808,261162002,2015-03-02T09:52:50.000Z,"RT @fleurybanery: @amsatweet I'm evil lol they are not models, they hand out free crap in. Night clubs lol #MKR #slaggyNOTsassy"
25,572333585698566144,3047674050,2015-03-02T09:52:14.000Z,#Mkr I'd score the bimbos a 2 for their instant restaurant just because their personalities suck
26,572333585471946752,1248431851,2015-03-02T09:52:14.000Z,Sassy? Gurls you ain't sassy. More like bitchy. #MKR
27,572333571702042625,2210127277,2015-03-02T09:52:11.000Z,My kitchen rules or my vagina rules? #MKR http://t.co/CXXgcf1MHl
28,572333550906707969,101325044,2015-03-02T09:52:06.000Z,"Katie and Nikki, nice from afar but far from nice #MKR"
29,572333542933307392,29694441,2015-03-02T09:52:04.000Z,There's no real technique to the dishes being served up by these blonde bimbos on #MKR. Chuck together + hope for the best.
30,572333397579714560,22874109,2015-03-02T09:51:30.000Z,"@amsatweet I'm evil lol they are not models, they hand out free crap in. Night clubs lol #MKR #slaggyNOTsassy"
31,572333349378736128,261162002,2015-03-02T09:51:18.000Z,"RT @furrybugga: #MKR ah girls, you are dumb if you really believe you have pretty faces."
32,572332902421164032,320984413,2015-03-02T09:49:32.000Z,"Promo ""models"" are the dangle berry of the modeling world. Shit. #MKR"
33,572332789716148224,2691817417,2015-03-02T09:49:05.000Z,"""We proved that we're not just pretty faces"". Oh Nikki you proved that when you first appeared on TV. #mkr"
34,572332660497858560,2187834654,2015-03-02T09:48:34.000Z,correction #MKR katie and nikki are really the dumb blonde ones
35,572332535985774595,26452697,2015-03-02T09:48:04.000Z,"""We're not just the dumb blondes with the pretty faces"" you're certainly not the second part anyway #mkr"
36,572332487608676352,351399926,2015-03-02T09:47:53.000Z,"""We've proven we're not just dumb blondes and pretty faces."" True, not ""just""... #MKR"
37,572332350291329025,337995180,2015-03-02T09:47:20.000Z,#mkr Dumb blondes with pretty faces ? Well you got that half right girls :)
38,572332267328049153,773330227,2015-03-02T09:47:00.000Z,Question is.... are they pretty?  #mkr
39,572332235619086336,52320378,2015-03-02T09:46:53.000Z,You've just proved that you are two blondes with fucked up faces!! #MKR
40,572332221006135296,768978024,2015-03-02T09:46:49.000Z,Dumb blondes with pretty faces..? #MKR
41,572332172947804162,2883133296,2015-03-02T09:46:38.000Z,#killerblondes more like #dumblondes #MKR
42,572332015267131392,2650794800,2015-03-02T09:46:00.000Z,RT @_little_old_me: Who are the pretty girls these 2 blonde scrubbers keep talking about? #MKR
43,572331922874974208,814476685,2015-03-02T09:45:38.000Z,If it's rigged like every other year the Nasty girls will get through for ratings #MKR
44,572331917959274496,2886833989,2015-03-02T09:45:37.000Z,#MKR #killerblondes the only way these girls are staying is if they blow every bloke in the room. So they're still in with a shot.
45,572331886988537857,135132634,2015-03-02T09:45:29.000Z,"I was so hoping the girls were going to pull something out. And they did, a breast. Slightly unexpected. #MKR"
46,572331778309955584,2187834654,2015-03-02T09:45:04.000Z,#mkr nikki has hot teeth
47,572331693685653505,394496111,2015-03-02T09:44:43.000Z,Are you kidding me? These girls on #MKR didn't cook their own tomatoes or peppers?!?
48,572331667806818304,3037268654,2015-03-02T09:44:37.000Z,Just want to slap the stupid out of these bimbos!!! #mkr
49,572331589037920256,412967063,2015-03-02T09:44:18.000Z,7% of all hearing loss is a result of sitting in a restaurant next to a table full of women who just received dessert. #KillerBlondes #MKR
50,572331576161251328,342065781,2015-03-02T09:44:15.000Z,Colin was pretty nice to the girls. Do you think he's giving them the dick? #MKR
51,572331566107508736,22871737,2015-03-02T09:44:13.000Z,"RT @lukeyook: If they think that dessert is refined and beautiful, now wonder they think they are pretty. #MKR"
52,572331551419052032,366531168,2015-03-02T09:44:09.000Z,FFS a can opener is too technical for the skanky hoes #mkr
53,572331496209448960,43656765,2015-03-02T09:43:56.000Z,These girls are fucktards!! #MKR
54,572331454992003072,1405309777,2015-03-02T09:43:46.000Z,"RT @finicalgal: Nicki explains the complexities of catwalk modelling: ""You have to place one foot in front of the other"".
#MKR"
55,572331397420957697,22871737,2015-03-02T09:43:33.000Z,"RT @trinnybopper: ""We want to stay in this competition because we haven't finished telling everyone how pretty we are"" #mkr"
56,572331393264455680,1116110186,2015-03-02T09:43:32.000Z,#killerblondes ?? Have the producers lost the plot or have my eyes failed? In what universe are they even remotely hot in?? #MKR
57,572331389611163648,2953604840,2015-03-02T09:43:31.000Z,"#mkr #KillerBlondes @mykitchenrules I don't know what's bigger, her forehead or her ass..?"
58,572331377405767680,22310197,2015-03-02T09:43:28.000Z,I apologise on behalf of my generation for Nikki and Katie. We aren't all so vapid. #MKR #NikkiandKatie
59,572331361589043200,116358110,2015-03-02T09:43:24.000Z,"When I think lemon tart, I think tart lemon. Yes Colin, I see what you did there. #MKR"
60,572331072840605697,2475518550,2015-03-02T09:42:15.000Z,Tarts for tarts ;) #mkr #mykitchenrules
61,572331059540410369,40198526,2015-03-02T09:42:12.000Z,#mkr The only thing these promo girls are going be able to sell after this episode will be black hair dye #painfulmorons not #killerblondes
62,572330940434759680,614046982,2015-03-02T09:41:44.000Z,I don't think any of those 3 dishes had sas they were ugly !! Just like the girls !!!  #MKR
63,572330938639654912,262389370,2015-03-02T09:41:43.000Z,So I take it Katie is a plus size model right? #MKR
64,572330641238310912,261162002,2015-03-02T09:40:32.000Z,RT @missgypsyck: Sassy.. More like trashy #MKR2015 #MKR
65,572330630282780674,852217994,2015-03-02T09:40:30.000Z,"I almost hope someone at the table mocks the #KillerBlondes because their deconstructed lemon tart looks like crap ""just like us"" #MKR"
66,572330546602242048,238768817,2015-03-02T09:40:10.000Z,#mkr Perhaps if the girls had spent less time looking in &amp; kissing mirrors and more time in preparation &amp; cooking they'd be better off.
67,572330121731829760,3004682262,2015-03-02T09:38:29.000Z,#MKR2015 #MKR I don't think these girls can cook. Also pls stop the duck face
68,572330046297264128,3023378215,2015-03-02T09:38:11.000Z,Sassy.. More like trashy #MKR2015 #MKR
0,572329874351759361,1116110186,2015-03-02T09:37:30.000Z,Promo girls?! What do they promo??? Gloves and gumboots? #3outof10 #MKR #MKR2015
1,572329859713671168,79459832,2015-03-02T09:37:26.000Z,Refined &amp; pretty? Looks like something a blind kindergarten student chucked on a plate. #MKR
2,572329790331494400,1587277770,2015-03-02T09:37:10.000Z,Hate these blonde bitches already #MKR
3,572329700736950272,3017002076,2015-03-02T09:36:48.000Z,Deconstructed tart by lazy tarts  #MKR
4,572329652372430849,46076472,2015-03-02T09:36:37.000Z,"This desert is a hot mess...like its makers, minus the hot #mkr"
5,572329575486603264,43675137,2015-03-02T09:36:18.000Z,"since when does the hill at the footy count as a catwalk? isnt that what a promo girl is, pimping out jim beam at the footy? #mkr"
6,572329566888325120,75142659,2015-03-02T09:36:16.000Z,"These girls say they're butchers, I once worked at a boat hire shop so I must be a ship captain #MKR"
7,572329430023974913,54724270,2015-03-02T09:35:44.000Z,@Shaunnagh just saw your tweet on #mkr!! These bimbos should go!
8,572329345588412417,713326014,2015-03-02T09:35:24.000Z,Hope the blonde cows don't make it through! #MKR
9,572329276776710147,2410882465,2015-03-02T09:35:07.000Z,These two blondes are not skinny enough to be models.  #MKR
10,572329260918046720,23910994,2015-03-02T09:35:03.000Z,Lol bitch please... #mkr
11,572329171134779392,1132427582,2015-03-02T09:34:42.000Z,And now for the dish that best represents the girls...... A big deconstructed TART  #MKR
12,572329124523479041,34760378,2015-03-02T09:34:31.000Z,I didn't know they were models #MKR
13,572329123604897792,2402894750,2015-03-02T09:34:31.000Z,Its not the only thing she's done a lot of I'm guessing  #mkr
14,572329120689864704,814476685,2015-03-02T09:34:30.000Z,"RT @exposerealitytv: The ""promo girls"" should be on cigarette packets smiling then everyone would quit #mkr"
15,572329028129968128,23901130,2015-03-02T09:34:08.000Z,#mkr pretty sure that's how all the chicks walk at Mt Druitt Westpoint
16,572328982256857089,287591876,2015-03-02T09:33:57.000Z,Really bitch really? Get on the runway and back in the kitchen #MKR2015 #MKR
17,572328892419080193,2459169938,2015-03-02T09:33:35.000Z,RT @Craigles60Craig: So do you think pink undie skank meth teeth has ever cooked anything before? #mkr
18,572328751775682560,782056154,2015-03-02T09:33:02.000Z,Zebra undies #MKR chic in pink dress
19,572328684243185665,2359256119,2015-03-02T09:32:46.000Z,"RT @HajiIshak1: RT @deaannnaa_:Katie and Nikki are frkn annoying stfu #MKR you're not even hot lol stop
 RT:@.vid.http://t.co/cRzO2P219y"
20,572328670657835008,3023528413,2015-03-02T09:32:43.000Z,Oh my lord... #blondemomentforthe #KillerBlondes @mykitchenrules #MKR
21,572328669428891648,23567167,2015-03-02T09:32:42.000Z,"When her hands get sore, she finds another way to get the job done... #MKR"
22,572328580455133184,44793218,2015-03-02T09:32:21.000Z,these two take dumb blonde to a a new level #MKR #MKR2015
23,572328574323052544,2650794800,2015-03-02T09:32:20.000Z,RT @PatriceChienne: Everything is deconstructed. They're no good at erections then? #MKR
24,572328540890247168,162266849,2015-03-02T09:32:12.000Z,"Yes, you put in the wrong way. Cue dumb blonde jokes. #MKR"
25,572328492865486849,2294201833,2015-03-02T09:32:00.000Z,OMG I just knew they were dumb!!! No common sense or brains #MKR
26,572328454227685376,1693969812,2015-03-02T09:31:51.000Z,Will this tart be the deconstructing of the #sassy girls? @MKR_Official #MKR @TVWEEKmag
27,572328445947981825,346492602,2015-03-02T09:31:49.000Z,Hahahahaha blonde moment! #mkr
28,572328381976453120,2273823290,2015-03-02T09:31:34.000Z,"That kitchen looks like they've re-enacted '2 Girls, 1 Cup'.

#MKR"
29,572328354847694849,84822058,2015-03-02T09:31:27.000Z,WHAT A DUMB BITCH #MKR
30,572328354281480192,46076472,2015-03-02T09:31:27.000Z,Jesus how dumb can you get #mkr
